;d;q;cT;MC;g
6;0,3;1,63;0,05;1;9,800088554
7;0,3;2,22;0,05;1;9,800088554
8;0,3;2,75;0,05;1;9,800088554
9;0,3;3,29;0,05;1;9,800088554
10;0,3;4,39;0,05;1;9,800088554
11;0,3;5,50;0,05;1;9,800088554
12;0,4;2,20;0,05;1;9,800088554
13;0,4;2,81;0,05;1;9,800088554
14;0,4;3,28;0,05;1;9,800088554
15;0,4;4,55;0,05;1;9,800088554
16;0,4;5,04;0,05;1;9,800088554
22;0,3;1,61;0,1;1;9,800088554
23;0,3;2,21;0,1;1;9,800088554
24;0,3;2,72;0,1;1;9,800088554
25;0,3;3,31;0,1;1;9,800088554
26;0,3;4,45;0,1;1;9,800088554
27;0,4;1,78;0,1;1;9,800088554
28;0,4;2,17;0,1;1;9,800088554
29;0,4;2,95;0,1;1;9,800088554
30;0,4;3,33;0,1;1;9,800088554
31;0,4;3,97;0,1;1;9,800088554
